organ	Endodermis	Trichoblast	Columella	Phloem Pole Pericycle	Metaphloem & Companion Cell	Cortex	Lateral Root Cap	Atrichoblast	Xylem Pole Pericycle	Procambium	Protoxylem	Metaxylem	Protophloem
hypocotyl	0.20345802954552236	0.0	0.0676141307234824	0.08982186222942672	0.0	0.017754259197394276	0.4160720259050674	0.01797343753376854	0.05473388855876762	0.0	0.12397180104339062	0.008600565263180062	0.0
leaf	0.18062230556831949	0.0	0.009238393951962135	0.08888002366836313	0.0	0.08253203214591993	0.4158856406132758	0.040043765535211634	0.06423065587068481	0.0	0.11024276787495732	0.008324414771305782	0.0
root	0.19696477527140938	0.0	0.0	0.06658674825033647	0.0	0.017472214050877826	0.41856142141462427	0.08019630476208862	0.06679978899668337	0.0	0.11662532176454052	0.0367934254894395	0.0
shoot	0.16458622902125877	0.0	0.0	0.14203242052855236	0.0	0.10378464678138151	0.42885451047380985	0.0	0.004676513648375185	0.0	0.14277378388396983	0.013291895662652518	0.0
undifferentiated cell culture	0.2081227229448527	0.0	0.021877780895952475	0.1468367877559059	0.0	0.06340383142869428	0.3395762215744383	0.08406417630279538	0.0055779154112610835	0.0	0.07217350831201	0.05836705537408987	0.0
unknown	0.1836966265631167	0.0	0.01103801269505727	0.07818648634873702	0.0	0.08246707485055997	0.41894477370186234	0.022103431599292858	0.07807551235232388	0.0	0.11279032057463378	0.012697761314416163	0.0
whole_seedling	0.20393305773537615	0.0	0.03098413840700077	0.1072653641119199	0.0	0.049184608159339595	0.3747569363437592	0.1292555668526609	0.014868189230955639	0.0	0.08967150604241264	8.063311657521722e-05	0.0
