logFC	AveExpr	t	P.Value	adj.P.Val	B	gene_id	contrast	model
-7.43282836243829	-2.51782358048485	-19.7313178732174	8.98486349378394e-56	2.28691730507283e-51	110.178838982751	AT5G28160|AT5G28180	FLT_BRIC_vs_VEGGIE	factorial
-7.41665942657634	-2.48040132813209	-19.5737180597081	3.43729597819349e-55	2.53495186831261e-51	108.959179309209	AT3G01450|AT3G18530	FLT_BRIC_vs_VEGGIE	factorial
-7.45795770472145	-2.48540932783356	-19.5658124768785	3.67674929824158e-55	2.53495186831261e-51	108.905469583552	AT1G32020	FLT_BRIC_vs_VEGGIE	factorial
-7.46705647578898	-2.47740881884129	-19.547327410993	4.30384588544362e-55	2.53495186831261e-51	108.765151953637	AT1G51240|AT1G51250	FLT_BRIC_vs_VEGGIE	factorial
-7.48149576194269	-2.46852698202526	-19.5302090042008	4.97967207856169e-55	2.53495186831261e-51	108.633436635516	AT1G43320	FLT_BRIC_vs_VEGGIE	factorial
-7.46134213164301	-2.49179887245826	-19.4695289181429	8.35214638295701e-55	3.30195189868781e-51	108.156002664278	AT3G46840|AT3G46850	FLT_BRIC_vs_VEGGIE	factorial
-7.44344688054842	-2.49830158918739	-19.4312821262933	1.15720372481783e-54	3.30195189868781e-51	107.866740743804	AT1G23910	FLT_BRIC_vs_VEGGIE	factorial
-7.44117455613888	-2.44936036685057	-19.4108688508129	1.37722980238699e-54	3.30195189868781e-51	107.703483255624	AT1G63630|AT1G63230	FLT_BRIC_vs_VEGGIE	factorial
-7.47892813784432	-2.47522952782528	-19.3948736022271	1.57851553684344e-54	3.30195189868781e-51	107.591934551882	AT3G29450|AT1G41920	FLT_BRIC_vs_VEGGIE	factorial
-7.48207233214594	-2.46917066275725	-19.3868582347256	1.69020023165851e-54	3.30195189868781e-51	107.524766753456	AT1G24380|AT2G13760	FLT_BRIC_vs_VEGGIE	factorial
-7.4645499126163	-2.42684374950707	-19.3862813544669	1.69853698863759e-54	3.30195189868781e-51	107.514434094649	AT5G63470|AT3G48590	FLT_BRIC_vs_VEGGIE	factorial
-7.44895544771301	-2.43485070518229	-19.3860402370094	1.70203366890437e-54	3.30195189868781e-51	107.517585762394	AT4G14103|AT4G14096	FLT_BRIC_vs_VEGGIE	factorial
-7.47059236782516	-2.49077016586	-19.3785077189074	1.81497448596249e-54	3.30195189868781e-51	107.456378774455	AT3G24982|AT3G25020	FLT_BRIC_vs_VEGGIE	factorial
-7.49575033735003	-2.47347986398347	-19.3704378893612	1.94430669640051e-54	3.30195189868781e-51	107.399518196467	AT3G43550|AT1G58525|AT1G58725|AT1G59030|AT1G58520|AT3G43570|AT1G59406	FLT_BRIC_vs_VEGGIE	factorial
-7.47680665810792	-2.47807235734381	-19.3609505969349	2.10820070278214e-54	3.30195189868781e-51	107.324925903872	AT5G34908|AT5G34881|AT5G34887|AT5G34883|AT5G34885|AT5G34905	FLT_BRIC_vs_VEGGIE	factorial
-7.44357435725552	-2.50110825287388	-19.3587079481989	2.14892134889978e-54	3.30195189868781e-51	107.301074102055	AT2G15470|AT2G15450|AT2G15460	FLT_BRIC_vs_VEGGIE	factorial
-7.48857085787894	-2.47305445790642	-19.3466453927677	2.38183661231185e-54	3.30195189868781e-51	107.21538551805	AT4G15070|AT5G48320	FLT_BRIC_vs_VEGGIE	factorial
-7.45638555096985	-2.42687448008768	-19.3462608589382	2.38966328974846e-54	3.30195189868781e-51	107.199780063946	AT1G17450|AT1G59077|AT1G58766|AT1G59453	FLT_BRIC_vs_VEGGIE	factorial
-7.47779267963777	-2.48294294755608	-19.3364256210986	2.59883488568435e-54	3.30195189868781e-51	107.135311258156	AT4G05340	FLT_BRIC_vs_VEGGIE	factorial
-7.46388005060943	-2.49079986350163	-19.3272157897927	2.81128892272718e-54	3.30195189868781e-51	107.062819678377	AT5G42260|AT5G44640	FLT_BRIC_vs_VEGGIE	factorial
-7.49934646665727	-2.46479664046099	-19.3256538519424	2.84900625779644e-54	3.30195189868781e-51	107.053670458482	AT5G38180	FLT_BRIC_vs_VEGGIE	factorial
-7.49657101915678	-2.4464943001307	-19.3254484769564	2.85400313405617e-54	3.30195189868781e-51	107.06066413397	AT3G44180	FLT_BRIC_vs_VEGGIE	factorial
-7.46699529337727	-2.48793290694586	-19.3157721438673	3.09964845047802e-54	3.4302326960877e-51	106.979001163052	AT3G56560|AT3G55210	FLT_BRIC_vs_VEGGIE	factorial
-7.47924198039615	-2.4969532706885	-19.3039286400315	3.42929182345277e-54	3.53351664004517e-51	106.887692601359	AT3G53060	FLT_BRIC_vs_VEGGIE	factorial
