pathway	contrast	mean_FLT	mean_GC	diff	t_stat	p_value	n_FLT	n_GC	mean_group1	mean_group2	n_group1	n_group2	fdr
auxin_biosynthesis	Flight_FLT_vs_GC	-0.02100507102551154	0.02086867446041027	-0.04187374548592181	-0.8215745809535728	0.4119608031233263	153.0	154.0					0.5988717372307271
auxin_biosynthesis	HW_BRIC_vs_other			-0.35999087184198264	-7.166336825966738	5.826129975156029e-12			-0.11843347900990334	0.24155739283207928	206.0	101.0	3.148154442715889e-11
auxin_biosynthesis	HW_CARA_vs_other			-0.04761495570914949	-0.6008350043498013	0.54839611825461			-0.04203144298755569	0.005583512721593797	36.0	271.0	0.7373178079608217
auxin_biosynthesis	HW_VEGGIE_vs_other			0.50568986569884	9.13971098526195	9.035246897362589e-18			0.39862197882449246	-0.1070678868743475	65.0	242.0	6.625847724732566e-17
auxin_biosynthesis	Flight_BRIC_FLT_vs_GC	-0.1516562090996941	-0.08709128081198753	-0.06456492828770657	-0.988363716064793	0.32414537413414113	100.0	106.0					0.49918387616657733
auxin_biosynthesis	Flight_CARA_FLT_vs_GC	-0.05245880699872277	-0.0316040789763886	-0.020854728022334165	-0.3336020401950662	0.7407286395064889	18.0	18.0					0.8707802327022847
auxin_biosynthesis	Flight_VEGGIE_FLT_vs_GC	0.36846010197266166	0.4338108351516284	-0.06535073317896672	-1.7725844041325276	0.08113216647140244	35.0	30.0					0.15425127946414785
auxin_biosynthesis	Organ_root_vs_other			-0.06447805277729547	-0.9493875282965765	0.3431752025486754			-0.05355668878895907	0.010921363988336404	52.0	255.0	0.5232572395296634
auxin_biosynthesis	Organ_leaf_vs_other			0.4030238284567924	3.79813203347679	0.0001759394963373403			0.37939376685346227	-0.023630061603330116	18.0	289.0	0.0004168412682453909
auxin_biosynthesis	Organ_shoot_vs_other			-0.3219753314428796	-2.259035924182118	0.02458700561442829			-0.3114875356304082	0.010487795812471369	10.0	297.0	0.04917401122885658
auxin_biosynthesis	Organ_whole_seedling_vs_other			0.21225161868060743	4.279062714748697	2.515440657826856e-05			0.110619736120186	-0.10163188256042144	147.0	160.0	6.979781284780826e-05
auxin_signaling	Flight_FLT_vs_GC	0.014292247795203338	-0.014199440991338129	0.028491688786541465	0.2918416791593454	0.7706060758111759	153.0	154.0					0.879995054123631
auxin_signaling	HW_BRIC_vs_other			-0.7997431203023986	-8.57435531198001	5.091516444577098e-16			-0.2631076715001374	0.5366354488022611	206.0	101.0	3.484860144288325e-15
auxin_signaling	HW_CARA_vs_other			0.060874093430605784	0.401278075598435	0.6884963975511522			0.05373576325633292	-0.007138330174272866	36.0	271.0	0.8448481691065931
auxin_signaling	HW_VEGGIE_vs_other			1.0200615197395244	9.78432252427973	7.695937330271458e-20			0.8040875823353907	-0.21597393740413365	65.0	242.0	6.971613816834145e-19
