	Endodermis	Trichoblast	Columella	Phloem Pole Pericycle	Metaphloem & Companion Cell	Cortex	Lateral Root Cap	Atrichoblast	Xylem Pole Pericycle	Procambium	Protoxylem	Metaxylem	Protophloem
AT1G01640	0.011238077	0.0030644506	0.07254886	0.17079659	0.1775625	0.015958073	0.022000171	0.013357885	0.09333072	0.18453245	0.009770674	0.06318126	0.48456186
AT1G01650	0.27887076	0.39413056	0.6778878	0.17525809	0.18147719	0.39221534	0.56782675	0.579501	0.15159641	0.19728729	0.21812017	0.24934594	0.19520006
AT1G01660	0.0033226933	0.2010166	0.002001875	0.0018858253	0.0	0.0022765524	0.004069387	0.001463009	0.00090198894	0.0050291126	0.0	0.0	0.0
AT1G01670	0.002431345	0.0016076418	0.002319966	0.0	0.0	0.005284722	0.0013954851	0.0037498693	0.0018693496	0.0	0.001979807	0.0	0.0
AT1G01680	0.013170517	0.0001309147	0.0	0.0	0.0	0.0010847461	0.0	0.00022840727	0.0002186921	0.0	0.0018730061	0.0	0.0
AT1G01690	0.019810578	0.00010094447	0.03101568	0.008691678	0.0030235106	0.009431263	0.037073813	0.009374725	0.011802399	0.004200876	0.020323856	0.024874385	0.02626854
AT1G04037	0.0007147683	0.0	0.0056788037	0.0022833406	0.0	0.001640784	0.0011300471	0.00076189265	0.0027601547	0.003049929	0.0011553317	0.0030990078	0.0
AT1G01700	0.0	0.0	0.001975966	0.0015948778	0.0054197	0.00076675887	0.0028720838	0.00040755494	9.3736424e-05	0.0042057266	0.008231338	0.0	0.007532252
AT1G01710	0.15707126	0.029525163	0.08054822	0.20163094	0.08075056	0.09280996	0.059472505	0.06340262	0.1887865	0.10606795	0.09504947	0.06998522	0.045504864
AT1G01715	0.021895418	0.011521075	0.028321654	0.013790864	0.021925136	0.010829788	0.025156068	0.014605083	0.018109446	0.015356755	0.0013836503	0.04049733	0.021472173
AT1G01720	1.7641486	1.6478732	2.2295637	1.5118319	1.409463	1.6140754	2.8698425	1.559239	1.4154325	1.3398391	1.2990971	1.1332667	1.7105829
AT1G01725	0.054537997	0.01108923	0.0978162	0.09710257	0.11518536	0.045029234	0.07638392	0.014737515	0.060596947	0.051675837	0.036296796	0.040125363	0.09320823
AT1G01730	0.11020939	0.095773414	0.12655728	0.13653937	0.057970792	0.09564223	0.16821113	0.108458996	0.11610762	0.09236103	0.11911969	0.1385129	0.05569958
AT1G01740	0.007895716	0.0059203105	0.0	0.02051581	0.002463954	0.00670157	0.002035052	0.0028156582	0.0071526924	0.011909485	0.0013243943	0.0	0.013550715
AT1G01750	0.005946948	0.46507296	0.022014681	0.052172493	0.02048688	0.017796611	0.01644457	0.021269098	0.021709554	0.024426293	0.047293458	0.011466813	0.10541512
AT1G04053	0.0003114409	0.0028296406	0.0	0.0	0.0	0.00015365514	0.00027962562	0.0	0.0007857847	0.0	0.0	0.0	0.0
AT1G01760	0.0054786745	0.0038666325	0.009086841	0.0013157455	0.00077195273	0.006732842	0.015262069	0.0023891686	0.004427686	0.002713629	0.001613661	0.0023248454	0.0
AT1G01770	0.026944688	0.3085948	0.050469555	0.083151795	0.18563963	0.024200922	0.028633904	0.019117456	0.091306716	0.04773626	0.25839767	0.105407566	0.2031211
AT1G01780	0.030711526	0.20891252	0.016796358	0.045165617	0.12582822	0.014256777	0.0150262425	0.019017002	0.043815907	0.037046034	0.28858277	0.072139	0.19791698
AT1G01790	0.02040384	0.024834974	0.007890412	0.03268911	0.020897556	0.038832135	0.014811437	0.028008403	0.042546313	0.026402099	0.031620406	0.033776917	0.0
AT1G01800	0.50597864	0.3969467	0.80149335	0.5762066	0.7049641	0.86818206	0.9898453	0.77276313	0.5586844	0.60548484	0.20839112	0.6575841	0.31740725
AT1G01810	0.015018821	0.013946466	0.035311695	0.016139772	0.02360076	0.022546707	0.076442294	0.024007868	0.017379142	0.028727956	0.011430626	0.013188261	0.0070017884
AT1G01820	0.17401002	0.19970274	0.319553	0.14073552	0.08792649	0.27111864	0.32745948	0.373137	0.14699037	0.1383103	0.08033242	0.21739425	0.050383173
AT1G01830	0.24620369	0.10244382	0.043524884	0.039511565	0.019348117	0.2378148	0.038240902	0.2459944	0.038614843	0.03871726	0.0067842393	0.07176754	0.0
AT1G01840	0.013285377	0.0031139632	0.0066588144	0.005488626	0.0	0.0010176578	0.010676203	0.0048538046	0.005599231	0.009758172	0.0011553317	0.001867955	0.0
