logFC	AveExpr	t	P.Value	adj.P.Val	B	gene_id	contrast	model
1.77364791404443	6.00621478910764	11.9547737163218	4.14615924838697e-27	1.05532191349193e-22	50.6129219947217	AT1G55920	Flight_x_HW_CARA_vs_BRIC	factorial
1.07841185575062	6.86968002715677	10.4412506113682	6.49970835581906e-22	6.48613009511129e-18	38.9816579213175	AT3G22200	Flight_x_HW_CARA_vs_BRIC	factorial
4.66806729466444	1.79253837899013	10.4201230450942	7.64483176259532e-22	6.48613009511129e-18	35.1753136675323	AT1G17345	Flight_x_HW_CARA_vs_BRIC	factorial
2.52853615205915	8.53589331698432	10.3525631874592	1.28320979935338e-21	8.16538475573537e-18	38.2887538429653	AT2G33830	Flight_x_HW_CARA_vs_BRIC	factorial
2.34513610020306	5.06521926909438	10.1948367898764	4.27416368224456e-21	2.05521433056405e-17	37.1404279819957	AT1G76410	Flight_x_HW_CARA_vs_BRIC	factorial
2.4961354712276	5.74715653396705	10.1783474757816	4.84472792338205e-21	2.05521433056405e-17	37.0026907026652	AT5G24530	Flight_x_HW_CARA_vs_BRIC	factorial
1.18150065396023	4.68545795302309	9.42376385560559	1.34856244918089e-18	4.90356571700019e-15	31.5479220552963	AT1G49720	Flight_x_HW_CARA_vs_BRIC	factorial
1.16026754349664	3.66219266023094	9.3704984386294	1.99005122069501e-18	6.20884351406575e-15	31.1485144884671	AT4G21215	Flight_x_HW_CARA_vs_BRIC	factorial
1.37745382233754	4.98480106736851	9.3570307101093	2.19540296336745e-18	6.20884351406575e-15	31.0648957411759	AT1G19400	Flight_x_HW_CARA_vs_BRIC	factorial
2.63110690555172	5.5900985062055	9.19050633013364	7.34868511253057e-18	1.87046082169241e-14	29.8633078922773	AT4G28040	Flight_x_HW_CARA_vs_BRIC	factorial
1.88116607485014	4.56320471478739	9.15245240206346	9.66968489747552e-18	2.2374771790495e-14	29.6233159387815	AT1G62300	Flight_x_HW_CARA_vs_BRIC	factorial
2.76185409430674	4.73039686476296	8.97111654064448	3.54632175058083e-17	7.5220439597945e-14	28.3683487684584	AT3G56400	Flight_x_HW_CARA_vs_BRIC	factorial
1.41440903009741	5.83499463530676	8.90462468798218	5.69082197574611e-17	1.11421916729743e-13	27.8705169904061	AT1G22770	Flight_x_HW_CARA_vs_BRIC	factorial
1.32907494664348	5.39316560595458	8.88658912627958	6.46759355643046e-17	1.17585470565589e-13	27.7852991661548	AT5G45110	Flight_x_HW_CARA_vs_BRIC	factorial
0.750680941562814	5.9238019970778	8.78815512360509	1.29692770167663e-16	2.20071338605168e-13	27.1197203646755	AT1G79380	Flight_x_HW_CARA_vs_BRIC	factorial
1.04135804139958	4.52469769300726	8.74800541974284	1.72039127221415e-16	2.60777021325941e-13	26.8331365087394	AT3G01170	Flight_x_HW_CARA_vs_BRIC	factorial
1.569262950825	5.68216906314419	8.74625194587527	1.74172371136644e-16	2.60777021325941e-13	26.7442459165356	AT5G02810	Flight_x_HW_CARA_vs_BRIC	factorial
4.64595256472015	1.92958184052897	8.73720513108412	1.85602052884256e-16	2.62451614003498e-13	26.2090024353986	AT2G43920	Flight_x_HW_CARA_vs_BRIC	factorial
2.23066298779125	6.55383603649895	8.67455653955477	2.87933629076446e-16	3.85724982151725e-13	26.3195034944369	AT2G25450	Flight_x_HW_CARA_vs_BRIC	factorial
0.745851019808731	5.5639461421855	8.62224671056108	4.14889496155991e-16	5.28009117282922e-13	25.9910120906703	AT5G35560	Flight_x_HW_CARA_vs_BRIC	factorial
1.14014257725412	5.53533798514986	8.6002341496057	4.83644441463806e-16	5.79756886085261e-13	25.8422340092068	AT3G47160	Flight_x_HW_CARA_vs_BRIC	factorial
1.20511799395809	7.84258718117692	8.59513795995611	5.01106018696254e-16	5.79756886085261e-13	25.8057047748372	AT5G07440	Flight_x_HW_CARA_vs_BRIC	factorial
-3.02889329362657	5.81931808690375	-8.58702096372149	5.30215879094134e-16	5.86764555242739e-13	25.6921070847136	AT4G37930	Flight_x_HW_CARA_vs_BRIC	factorial
