	auxin_biosynthesis	auxin_signaling	auxin_transport	auxin_response_genes	cytokinin_biosynthesis	cytokinin_signaling	ethylene_biosynthesis	ethylene_signaling	aba_biosynthesis	aba_signaling	ga_biosynthesis	ga_signaling	ja_biosynthesis	ja_signaling	sa_biosynthesis	sa_signaling	photosynthesis_light_reactions	calvin_cycle	starch_metabolism	sucrose_metabolism	glycolysis	trehalose_metabolism	cell_wall_biosynthesis	lignin_biosynthesis	oxidative_stress	heat_shock	dna_damage_response	gravitropism_signaling
OSD-37__Atha_Ws-2_sl-pool_FLT_Rep1_R1-FL-C1	0.24495559442132783	0.4880284706255013	0.12097860957296036	0.625328254966981	0.23562797660446377	0.02184735712026372	0.4850555559327514	0.3173166181607805	0.5107051798836956	0.3558114142884515	0.30171771583049484	0.5754268737147801	0.4410468797628158	0.49994051352859736	0.0596893463093042	0.30301967334114316	1.23531305412762	0.6115302142190875	0.31024758768471183	0.20080491720230098	0.3348521361194664	0.2846803614711607	0.32886502810004176	0.3360259155642751	0.19995450080389246	0.7586995258890772	0.3440410758136341	0.2238779304783792
OSD-37__Atha_Ler-0_sl-pool_FLT_Rep1_R1-FL-C2	0.03262364305642714	0.5270589540944149	0.28925202495808505	0.5696641358199886	0.37235551728206767	0.35205447186408184	0.5366895105245755	0.38891502608586875	0.6667775559879587	0.44716421488660935	0.31552721570234005	0.7125933005154249	0.24918392134853184	0.2220163860462504	0.17431074021185314	0.2938980096154913	1.1218660993321565	0.5816726238531184	0.28764346139376745	0.2745263320071618	0.3928216551892586	0.44469240626419143	0.34556936883333866	0.2979989423758471	0.26468778100716883	1.053474597804621	0.4053021402669954	0.31208402123677975
OSD-37__Atha_Cvi-0_sl-pool_FLT_Rep1_R1-FL-C3	0.21250721320491636	0.45273669280132567	0.16174481556667739	0.7170897271683203	0.14935358179187122	0.1415405547719411	0.3587829500742363	0.40217642224362465	0.3813625528865917	0.4395491779332097	0.16792881074420768	0.5442266225480376	0.3860038208941503	0.18372684617463464	0.24582652830219667	0.28119255998550485	1.3158499958053165	0.6914156139466217	0.29753428518321995	0.20372863294260898	0.3959520660847007	0.2906429849197428	0.2788889054247164	0.2508817016920019	0.2958363470366131	0.9289273540919585	0.38099264400727895	0.2983103291618323
OSD-37__Atha_Ws-2_sl-pool_FLT_Rep2_R1-FL-C4	0.09565217076106537	0.44048315160680684	0.0664786447682297	0.685189036396722	0.28909618965072387	0.1031092066924754	0.34673517563194123	0.3161868808174563	0.38948708838957374	0.3344848343954544	0.13749948917093902	0.2647839378021828	0.39374120411843816	0.8055141301959743	0.02036645459122488	0.3609300421034307	1.5016843956683332	0.5185293485535696	0.15148287098493238	0.3067658706482717	0.33310432279691676	0.2733460046502681	0.08784468803044838	0.38685503383852105	0.2177492822779717	0.8070437297784718	0.24951276300676092	0.20283661251921337
OSD-37__Atha_Ler-0_sl-pool_FLT_Rep2_R1-FL-C5	0.12028399975656096	0.5045290324508476	0.12423511163473834	0.3988239048200492	0.2728227506661309	0.2035913233955771	0.4528788517029544	0.37302067686042767	0.6427030005702725	0.48948488466886986	0.21539220723031516	0.6938832956402609	0.24791239191410414	0.4063995814703281	0.23737742395377845	0.30019080676250226	1.2388720164871332	0.7783768530714762	0.17573266988968034	0.2904320538204495	0.3772009611237269	0.34519442604488226	0.16775478033642852	0.26999582509571435	0.22730559813426002	0.8876651117348282	0.3438184742257565	0.33936098279019994
OSD-37__Atha_Ws-2_sl-pool_FLT_Rep3_R1-FL-D1	-0.13000587620577508	0.3450645177777523	0.03647875696958893	0.5435525422381329	0.13660397317404055	0.14334567065977574	0.2634373389099536	0.2828472273885414	0.2175857060384429	0.3427952514685564	0.0995856255379747	0.2643205768173065	0.39428393843905146	0.6655866029484121	0.04917814991826053	0.36574953744798167	1.2948402950830495	0.5727936786975356	0.14133916554673656	0.19477506859169502	0.35628403738194253	0.40220384647480956	0.03454479098825117	0.3322552195310418	0.1943936481178039	0.7159749080931392	0.27295576033328073	0.16654060760404635
OSD-37__Atha_Cvi-0_sl-pool_FLT_Rep2_R1-FL-D2	-0.04687091604369268	0.3684830476734063	0.14362995095145084	0.807072542109074	0.0891395334924209	0.08820408341541895	0.31209172095864823	0.28893215625015267	0.3208929864518708	0.3316369609875128	0.1324083935557064	0.4839686475163294	0.4025438044079403	0.1334590391468583	0.16612406929334592	0.26637111255561463	1.2831675115817915	0.5913032040977189	0.26635076871341323	0.04592362779344175	0.34711896694275735	0.22104104633607588	0.318878459821618	0.26554826263364867	0.24373799828146317	0.5221985956190229	0.3805302477034741	0.3029104663617043
OSD-37__Atha_Ler-0_sl-pool_FLT_Rep3_R1-FL-D3	0.13631370381474192	0.6013926469169315	0.20693825895884804	0.5614620727260989	0.16765932897093944	0.20677280171586035	0.5199162289849765	0.2842751350744601	0.48667441942245937	0.480298577346929	0.3886734191678285	0.4788884241004711	0.30038630828638735	0.6416779041744194	0.3123491146712612	0.42472122774591187	1.3670078772864251	0.6275738893785338	0.2756740489356523	0.29314524076898385	0.31922960924562627	0.471620420677496	0.24363194788248976	0.21647300078864556	0.2839616141302621	0.8669346566737015	0.32300371871458833	0.34650821919146463
OSD-37__Atha_Ws-2_sl-pool_FLT_Rep4_R1-FL-D4	0.03834515437615152	0.3555309477987897	0.12183236173647616	0.6321559226435753	0.263413165439189	0.337997566901684	0.31600391161091423	0.2779200017341947	0.6641787577759436	0.4907798523535332	0.28953663743937347	0.473650884008876	0.30397178982577294	0.6359265597150372	0.028348350766165688	0.36224990631335896	1.4953623923980222	0.4732073692401598	0.21363233628417236	0.3794281764144468	0.35680793920580844	0.3663016637641524	0.22864696721326622	0.3345365056641618	0.2561878103937182	0.8786922464837355	0.3777377646493237	0.20241959875240823
OSD-37__Atha_Cvi-0_sl-pool_FLT_Rep3_R1-FL-D5	0.08456994667182965	0.5283698959847557	0.18795019095982365	0.7959343381495575	0.18647472591137065	0.3029186345932391	0.4604956671593929	0.3350304388355805	0.1782267113367199	0.4200942084024544	0.42339011100125307	0.481582971132541	0.34965529691796166	0.3252542972328584	0.20848187309400454	0.3118279374935996	1.2887625292151563	0.7244278000693467	0.26399740821883017	0.45251995459849215	0.3627742203663559	0.23454056221289107	0.30090168815418794	0.31600942842176116	0.2649256910341993	0.5607291924229514	0.3681291939759936	0.28193522104607627
OSD-37__Atha_Ws-2_sl-pool_GC_Rep1_R1-GC-C1	0.0698580350738897	0.43116280490927233	0.11526191575065635	0.6055023502152544	0.3252068842528048	0.1655856417911619	0.5310678298664202	0.32107122383957276	0.3127990211605322	0.3186270085370222	0.032848629434697324	0.36172032575588253	0.4107819897635093	0.5510598582907119	0.06550856757583372	0.4071754602769167	1.1094165372951836	0.4257613950967071	0.1271613243612262	0.3805875810148897	0.3047904352099337	0.22853978167618197	0.2997515383445785	0.38194184245059654	0.19501864059062948	0.40128659197941896	0.38070520858433227	0.18316618951065458
OSD-37__Atha_Ler-0_sl-pool_GC_Rep1_R1-GC-C2	0.003264333738828016	0.39422549908630977	0.19357304395140273	0.5406731879372146	0.2183654206448944	0.23512776260634538	0.46936027507572825	0.2197737432691566	0.4169550787683882	0.3443616796784866	0.15068408179950232	0.4763099027823826	0.26894863265765023	0.3645655103453644	0.23960088141731883	0.34516971312737293	1.0658002316472204	0.5756405291209732	0.12753489876903462	0.13426722277343736	0.2914060236453569	0.25112818137257	0.07984532220621199	0.3279301187647748	0.18373834568894948	0.2963870680089627	0.2750670536824747	0.19584812322267686
OSD-37__Atha_Cvi-0_sl-pool_GC_Rep1_R1-GC-C3	-0.10337634280461468	0.5657122147754009	0.22793210823309504	0.7583934471366031	0.17778158701519267	0.19790763250884205	0.5043479388263925	0.39288114030383836	0.10460345729359177	0.33601406131685085	0.21808522725608764	0.3974464948040344	0.31145431281400515	0.3930067750755806	0.11886781484897518	0.3325389876034902	0.9525693473102805	0.401021699570437	0.12444724215965837	0.10026830487449687	0.2752264956871431	0.24068019532869228	0.19220059776913404	0.25240365284483696	0.19500952083462153	0.29817183684401916	0.3261979857690735	0.24257303347541445
OSD-37__Atha_Ws-2_sl-pool_GC_Rep2_R1-GC-C4	0.05824439928103962	0.433400890832384	0.050567433953519925	0.6266207107897861	0.2846976474955594	0.2608971840930093	0.5525514934273505	0.4049590954772095	0.8331458410232093	0.39953262974342263	0.1131535385791968	0.5513129876494732	0.31622792781438325	0.5006898919043054	-0.13452509632992313	0.33966483152373594	0.9479281802460788	0.21228891430427385	0.12158460069621209	0.13800367262703883	0.2518062092941423	0.40990308059649105	0.17977788103468637	0.3854407364894042	0.16438682625348147	0.5388830156742559	0.34171431367882094	0.2007636160435839
OSD-37__Atha_Ler-0_sl-pool_GC_Rep2_R1-GC-C5	0.047434304646843874	0.3934432760098058	0.19376355338507276	0.6395842288066235	0.45832147924509964	0.28417741850953165	0.510160987228645	0.4225359585621946	0.7009820409555667	0.4023796714992926	0.4397781384666101	0.6969473589398817	0.3105214255724135	0.2833724740328495	0.1916675980777999	0.41765881200124055	0.9432059732988313	0.2677304325210042	0.08524966065966175	0.21432973150545062	0.30302939333099876	0.30326097374534167	0.24676724352982382	0.43215631294320356	0.22284318017688856	0.2837757739061341	0.37582593819556415	0.5286819702782166
OSD-37__Atha_Ws-2_sl-pool_GC_Rep3_R1-GC-D1	0.02456718531786231	0.38549080834396254	-0.01691597284852306	0.47745895679201955	0.30879425762418755	0.15948124257644786	0.45880159232480505	0.45190006463085775	0.9413859296876304	0.47194081934810345	0.23458637607024554	0.5543282872870696	0.2842834601454753	0.5573506628496668	-0.009670373607328107	0.35657062224340674	1.0082675744961176	0.24672190968689087	0.08009121665720455	0.05788059368881146	0.22925658651177028	0.32504790296682196	0.17683248620504696	0.4142262553799661	0.1191151575405147	0.5684382058903092	0.2951008711564199	0.2417441238400731
OSD-37__Atha_Cvi-0_sl-pool_GC_Rep2_R1-GC-D2	0.08018932119180294	0.47905048656778815	0.21503790091512084	0.7412512603340843	0.20997164039483365	0.2667868426853856	0.4711837959501511	0.33365012343008843	0.37693084893031936	0.32052610893785366	0.23530960469843748	0.45281599113136983	0.36396021807642653	0.41547485975598664	0.11361355754365707	0.34552365664322127	0.9102341179483003	0.4580884129083285	0.16111662147609818	0.13162160653306823	0.27008117323735603	0.240480240679865	0.26928272746124654	0.3321739960939724	0.1360949081328698	0.2507770632888626	0.2556855978763192	0.22029615832647936
OSD-37__Atha_Ler-0_sl-pool_GC_Rep3_R1-GC-D3	0.026137754467651805	0.3798600150275741	0.11249097724544244	0.6667364924478758	0.34261465971153127	0.1873219115469267	0.5304318013156948	0.311143179596312	0.6154682596411725	0.41062718188633146	0.34164287270164556	0.7122874037955118	0.24702603242102886	0.10381997524549279	0.13648613815270258	0.3202025878837406	1.0138222057798483	0.43099356487274504	0.12830876001378808	0.040694252176736556	0.2539195106210237	0.19679362963985117	0.3021762332747955	0.3348751364035562	0.10101798062740537	0.19394109029949352	0.3276704902609706	0.2971750515461452
OSD-37__Atha_Ws-2_sl-pool_GC_Rep4_R1-GC-D4	-0.06050281598398328	0.40725723135103514	0.06287617134903996	0.507769630171543	0.31321888113387997	0.14463258835372683	0.380994351675948	0.26868628369790126	0.12543099747318823	0.3408293360265073	0.1821111589680752	0.36899532767098897	0.3153866647306385	0.5670848391011096	0.10302508900167938	0.33582927778987265	1.001665425949509	0.28473944079711117	0.06834382394155065	0.27406767911859403	0.2809071283170771	0.20411218328670575	0.17230824496219535	0.3829001871611039	0.09488524848979428	0.4702269999177568	0.32299814497778084	0.16893916995418798
OSD-37__Atha_Cvi-0_sl-pool_GC_Rep3_R1-GC-D5	-0.017190783309559064	0.49596038544665627	0.061000925605203746	0.6866184243461754	0.23064910200443575	0.28067738372378337	0.4919958514898296	0.40592585216755106	0.4039839497884128	0.3602115448084553	0.10564195464985937	0.48436743496546214	0.30766002573517637	0.3979008300844683	0.031734359020176295	0.3535159425986824	0.9062093832932816	0.40917929273794534	0.12331049608270161	0.10559403469444263	0.290436072619548	0.18574661286216723	0.2554510639564332	0.24450726909029177	0.196897906625968	0.39780597297231923	0.3564370551319806	0.24839375839270525
OSD-37__Atha_Ws-2_sl-pool_FLT_Rep5_R2-FL-C1	0.19641706902281328	0.3973083402611284	0.24451195531180758	0.6977119504037185	0.29306065976945606	0.2848113099499273	0.48497045966534147	0.45264127433729257	0.6490363078480991	0.4209729278421054	0.4724122199319924	0.5534676653209503	0.5715338599546907	0.4542709567787745	0.13018786337530258	0.5343545284157833	1.2916366088207647	0.7635054496165856	0.44183250157697057	0.4631281746367021	0.366298984147969	0.23312326563186528	0.39191733280235785	0.3086892876638014	0.30033689089265925	0.7522144563804101	0.43912416010759286	0.42038631745079513
