cfd_hardware	flight	Endodermis	Trichoblast	Columella	Phloem Pole Pericycle	Metaphloem & Companion Cell	Cortex	Lateral Root Cap	Atrichoblast	Xylem Pole Pericycle	Procambium	Protoxylem	Metaxylem	Protophloem
BRIC	FLT	0.20058889785004108	0.0	0.03478588507263977	0.10704779516807038	0.0	0.054379530128833356	0.3880644443654587	0.07951023189233193	0.028637031042175444	0.0	0.1007919434809634	0.006194240999485881	0.0
BRIC	GC	0.2065500797212177	0.0	0.03714872268834696	0.11120481028513397	0.0	0.03500734172746315	0.37916828183612594	0.10765888645713714	0.017395395572996172	0.0	0.10016669434475352	0.0056997873668254255	0.0
CARA	FLT	0.20277115027936227	0.0	0.0	0.04997804805202504	0.0	0.0	0.4219284018579557	0.10022296138844122	0.0700219983179369	0.0	0.10522923934454766	0.049848200759731176	0.0
CARA	GC	0.1961808055908302	0.0	0.0	0.044924332867465014	0.0	0.0	0.42513553782216834	0.07668257909241863	0.08919564608033954	0.0	0.11143718122590648	0.056443917320871825	0.0
VEGGIE	FLT	0.17715133411471973	0.0	0.01923259569175251	0.0832333295961456	0.0	0.08819888086260491	0.4119610498276526	0.041585075124818315	0.06485750473522824	0.0	0.10526004680626344	0.008520183240814699	0.0
VEGGIE	GC	0.18803688231266993	0.0	0.004464430093012267	0.09091547762913196	0.0	0.06492222295221532	0.413387953001525	0.07396683894640373	0.045587428835122366	0.0	0.11350612209655354	0.005212644133365919	0.0
