logFC	AveExpr	t	P.Value	adj.P.Val	B	gene_id	contrast	model
14.5923789332919	4.12281062337176	10.9899656294246	9.148624047362e-24	2.32859927877505e-19	39.2356441027802	AT1G79160	FLT_CARA_vs_VEGGIE	factorial
-7.28192694872172	1.75127677351527	-10.4180287305824	7.76873631813305e-22	9.88688227527203e-18	38.809806165298	AT3G46845	FLT_CARA_vs_VEGGIE	factorial
12.3284385674477	3.24940624125838	10.340186010952	1.4106999238446e-21	1.19688483872055e-17	36.0054619256314	AT1G53090	FLT_CARA_vs_VEGGIE	factorial
-8.47881762023014	-1.41681570591695	-10.2285874688564	3.30628902222479e-21	2.10387436206719e-17	34.8110143221316	AT5G03553	FLT_CARA_vs_VEGGIE	factorial
12.2032816591994	2.74534474991961	10.128492156519	7.07221073627343e-21	3.04822973419855e-17	35.2841012877978	AT2G41370	FLT_CARA_vs_VEGGIE	factorial
12.0988869739511	1.63073322267284	10.1263942999452	7.18554921038436e-21	3.04822973419855e-17	34.6755783448739	AT2G19910	FLT_CARA_vs_VEGGIE	factorial
-8.57226919423817	-1.07969961279477	-9.31149354151943	3.05834248567207e-18	1.1120570183973e-14	29.0024737801641	AT2G04805	FLT_CARA_vs_VEGGIE	factorial
6.31494448281863	4.15025327617954	9.14101920598614	1.04996513823147e-17	3.3405953329257e-14	29.3078827522634	AT5G46470	FLT_CARA_vs_VEGGIE	factorial
6.72402095480393	5.08094869078469	9.09838701642414	1.42664319697393e-17	4.03470547695306e-14	29.0819316455208	AT1G18460	FLT_CARA_vs_VEGGIE	factorial
11.6726427226836	3.24794249821183	8.88554165530249	6.51580494132021e-17	1.65846783171423e-13	26.391466565123	AT3G49160	FLT_CARA_vs_VEGGIE	factorial
-12.8974337600406	-1.43390963545102	-8.74225785129479	1.79129853312324e-16	4.14490196032598e-13	25.8869527561337	AT3G44798	FLT_CARA_vs_VEGGIE	factorial
-4.87866303641774	3.36320360090259	-8.63587478725621	3.77272559296677e-16	8.00226537648192e-13	25.7429181876113	AT3G12587	FLT_CARA_vs_VEGGIE	factorial
-8.67446988479719	-1.37679250534342	-8.47547331470946	1.14843594702157e-15	2.10078557945305e-12	22.4044699780651	AT5G00980	FLT_CARA_vs_VEGGIE	factorial
-8.64559869645085	-1.96851115731452	-8.47458459487758	1.15550222419136e-15	2.10078557945305e-12	23.6671460524945	AT5G07025	FLT_CARA_vs_VEGGIE	factorial
8.18896496679237	4.36714520395074	8.45519187083793	1.32087443622884e-15	2.24134780168884e-12	24.8005004520063	AT5G35970	FLT_CARA_vs_VEGGIE	factorial
-5.59248215008377	2.47698950671422	-8.31672115194357	3.41491606510497e-15	5.4324911628198e-12	23.9255043757417	AT3G43740	FLT_CARA_vs_VEGGIE	factorial
-5.15845714372888	1.84709462221629	-8.3062559733481	3.66769782629876e-15	5.49140663369307e-12	23.8649778628599	AT5G23410	FLT_CARA_vs_VEGGIE	factorial
-10.635647300725	-1.23041182929581	-8.23602060840924	5.91472628511499e-15	8.36375156305732e-12	22.1298831240335	AT3G05945	FLT_CARA_vs_VEGGIE	factorial
