logFC	AveExpr	t	P.Value	adj.P.Val	B	gene_id	contrast	model
3.95033889386209	1.79253837899013	9.4427713998393	1.17340274498911e-18	2.98666200682078e-14	29.8310009506464	AT1G17345	Flight_CARA_FLT_vs_GC	factorial
-3.21960331997044	4.65701955081022	-9.33619837720304	2.55519394670744e-18	3.25186757627723e-14	30.155518766304	AT5G17300	Flight_CARA_FLT_vs_GC	factorial
-2.36295378961197	4.20685637724011	-8.78990271536654	1.28105379951232e-16	1.08688874529957e-12	26.8225013195163	AT3G09600	Flight_CARA_FLT_vs_GC	factorial
1.01397912000078	4.68545795302309	8.73270775086353	1.91557487261464e-16	1.21892818081651e-12	26.7504430174535	AT1G49720	Flight_CARA_FLT_vs_GC	factorial
1.19320382478708	5.83499463530676	8.14157740486735	1.12032293035339e-14	5.70311590925696e-11	22.7943669730422	AT1G22770	Flight_CARA_FLT_vs_GC	factorial
1.815482442842	8.53589331698432	8.03759339769184	2.25182597753687e-14	9.55262110104101e-11	22.1063198882614	AT2G33830	Flight_CARA_FLT_vs_GC	factorial
3.97420816037224	1.92958184052897	8.01401286765151	2.63608368846389e-14	9.58517687463877e-11	21.7932695802565	AT2G43920	Flight_CARA_FLT_vs_GC	factorial
1.27196279994548	5.88137943489748	7.69389673012087	2.17506029565947e-13	6.92022621317757e-10	19.9179068286019	AT2G44080	Flight_CARA_FLT_vs_GC	factorial
1.4899339108785	3.9304109659755	7.63374005557949	3.21422224629143e-13	9.09017764831731e-10	19.5366579581509	AT1G56300	Flight_CARA_FLT_vs_GC	factorial
-1.27236797960907	5.59449810647557	-7.60888018914845	3.77500548431171e-13	9.6085214592186e-10	19.3676518634563	AT5G37260	Flight_CARA_FLT_vs_GC	factorial
1.25058734230488	5.68216906314419	7.56162271034326	5.12013386573628e-13	1.18475242985987e-09	19.0919515718497	AT5G02810	Flight_CARA_FLT_vs_GC	factorial
0.703849355735072	5.26742380731661	7.54317624816991	5.76506831198137e-13	1.22281903120718e-09	18.9415442739289	AT4G26130	Flight_CARA_FLT_vs_GC	factorial
1.56186882809368	5.74715653396705	6.88104264809458	3.58838257861027e-11	7.02577705948978e-08	14.9392512340053	AT5G24530	Flight_CARA_FLT_vs_GC	factorial
-3.33696661158379	-0.658848851902343	-6.79767768642292	5.92755921946032e-11	1.0776726058066e-07	13.8023138250775	AT5G50800	Flight_CARA_FLT_vs_GC	factorial
